18
801 1713
210 711 943
678 745 636
228 700 499
610 344 670
68 25 143
481 184 944
649 679 979
10 767 543
386 163 226
657 547 847
252 16 304
353 516 638
155 182 761
641 33 559
656 366 65
778 764 217
608 701 51
339 210 38
235 451 373
392 293 474
463 449 734
32 380 849
746 748 649
785 598 370
137 241 770
449 275 191
472 257 905
564 753 118
331 140 526
129 720 747
669 498 791
115 324 330
383 445 205
382 556 487
122 432 842
540 207 208
569 581 780
273 30 932
6 109 994
556 205 873
306 762 659
476 3 192
90 669 222
426 370 177
174 20 316
317 74 78
361 601 456
341 79 193
182 459 125
607 323 549
666 132 955
397 645 52
515 798 861
364 21 284
726 492 386
768 49 870
146 209 653
582 380 319
356 106 198
624 378 83
395 43 145
728 591 768
181 534 789
733 373 51
290 284 549
614 452 630
506 725 875
486 44 266
787 775 417
734 560 339
687 178 993
75 754 665
161 215 346
131 228 333
273 471 963
768 514 694
542 621 827
301 3 948
194 295 248
732 44 193
540 92 305
436 536 51
365 307 692
700 567 172
306 529 3
437 439 340
48 511 522
549 138 175
238 487 5
554 663 230
383 87 451
659 414 644
450 274 769
531 60 977
741 538 720
126 547 735
374 373 248
52 292 815
131 706 102
187 73 242
790 657 280
85 761 579
507 435 76
10 617 243
567 531 46
334 781 40
267 173 715
173 437 870
113 629 441
712 55 929
278 527 533
91 578 516
719 54 695
148 661 145
5 789 668
364 142 282
87 202 772
566 402 272
547 361 770
439 129 586
353 59 487
393 577 899
235 121 694
335 552 323
761 289 383
433 799 811
156 265 91
115 4 651
359 108 932
418 196 107
11 279 827
686 326 566
650 374 305
106 661 314
787 678 706
761 473 29
188 348 486
257 198 20
589 380 973
256 685 98
16 51 135
534 356 728
774 207 773
596 649 180
614 139 633
772 277 503
308 442 824
34 179 925
377 253 274
657 90 349
644 206 237
439 692 194
330 475 772
800 620 520
231 561 943
782 597 420
194 767 274
56 330 460
696 343 983
31 285 218
403 784 516
212 215 373
594 50 552
488 694 607
274 91 534
314 102 177
630 488 612
603 489 115
590 465 193
265 759 310
19 461 689
15 323 37
529 160 475
507 712 824
35 138 644
262 592 773
786 78 821
487 618 178
60 286 38
380 190 799
285 710 213
486 359 934
194 44 581
693 490 187
431 172 756
670 38 880
655 768 213
52 779 504
332 69 106
127 83 800
231 81 906
205 124 896
26 629 108
775 641 55
381 450 93
545 319 539
667 272 888
675 334 430
15 604 543
458 777 612
175 499 996
249 752 271
293 120 730
536 187 56
613 795 636
158 458 323
204 152 171
191 561 326
247 655 669
691 127 110
201 724 830
702 165 226
15 554 437
40 743 868
462 264 224
64 355 682
198 734 845
144 52 611
187 503 596
515 312 584
163 618 494
461 635 562
540 434 363
537 40 544
67 650 43
772 372 544
109 327 581
347 577 334
446 304 210
215 251 513
32 780 424
575 244 290
167 710 701
134 85 927
213 661 356
638 29 599
717 365 765
777 453 155
714 521 563
152 680 380
362 226 900
520 333 498
94 771 812
229 523 118
104 361 284
446 551 799
179 5 666
189 123 787
783 244 268
789 560 677
732 373 710
111 395 713
543 540 741
412 613 419
192 338 635
1 56 574
739 206 222
705 111 13
404 223 848
358 316 19
319 443 994
179 403 140
146 800 383
210 247 49
205 759 736
218 152 829
670 273 300
273 289 653
795 323 950
37 637 127
216 728 69
282 393 743
19 370 814
710 395 899
667 356 234
649 93 532
464 727 443
795 121 304
232 460 908
527 719 391
792 232 603
750 328 410
438 199 519
379 696 591
71 563 386
273 677 731
374 68 710
801 256 205
745 775 927
649 729 447
259 728 788
53 322 171
626 40 168
38 63 189
471 292 952
248 125 784
268 55 176
454 568 111
168 753 72
799 327 103
614 365 923
122 381 545
189 514 379
415 111 535
708 660 929
216 479 555
682 30 732
44 700 545
357 125 536
24 646 506
740 527 518
539 37 184
534 162 723
389 673 415
351 405 752
263 427 670
611 94 376
433 552 671
403 545 922
450 701 637
436 72 640
555 8 60
321 583 689
740 300 897
215 611 9
181 432 664
211 64 716
585 484 48
431 558 385
8 670 372
646 26 595
1 722 9
67 380 734
107 249 898
428 672 111
400 557 869
56 661 764
316 291 440
622 774 726
734 621 940
592 354 133
27 231 78
714 58 274
479 348 900
785 191 796
29 674 41
173 753 382
717 239 57
299 701 844
698 576 120
277 647 523
52 463 296
312 273 992
352 341 379
43 234 133
330 505 491
400 58 807
234 689 479
177 675 903
157 558 71
302 531 833
752 709 632
233 269 56
431 214 334
529 87 749
23 537 366
258 630 7
30 303 95
685 676 882
570 670 954
607 78 833
1 473 123
588 158 997
132 621 990
112 46 168
716 184 695
320 359 384
134 394 928
178 738 774
509 402 632
121 583 906
755 302 371
531 285 207
393 747 105
420 254 895
656 125 352
29 755 844
547 81 186
320 27 998
322 637 665
466 547 301
389 500 570
710 241 462
241 467 418
442 378 870
184 543 747
638 343 507
290 312 727
709 753 165
543 271 230
439 115 280
426 433 76
698 162 432
138 624 462
257 471 665
573 70 632
611 500 616
24 593 495
340 51 763
714 600 250
624 95 565
11 310 324
521 586 947
655 656 64
727 132 594
514 360 941
292 174 370
359 626 728
234 525 232
124 777 413
457 150 719
418 369 316
467 794 547
397 424 823
537 464 666
397 748 310
